number,value,state,params_batch_size,params_beta1_d,params_beta1_g,params_beta2_d,params_beta2_g,params_lr_d,params_lr_g,params_optimizer_d,params_optimizer_g
0,,FAIL,32,0.3933053841846124,0.12475268446821233,0.8557592573475707,0.9708100816935623,0.002799471186025991,0.004514584721312875,sgd,adam
1,431.45648543039306,COMPLETE,128,0.9486310440207504,0.34745730147239234,0.6424943826059165,0.8312533877001687,0.006152095488630767,0.008833365259756646,adam,adam
2,445.20823994481214,COMPLETE,32,0.2653665683927952,0.9455210658512611,0.9517982166097625,0.7865019628554547,0.0012067168655569807,0.007300399262588682,adam,adam
3,415.22762059685334,COMPLETE,32,0.593115865088133,0.8535565690238348,0.5520576206805038,0.7115068008191128,0.0026984244621476683,0.00481325507901474,sgd,adam
4,379.78202763381546,COMPLETE,128,0.7611239370054202,0.6385971338551361,0.9678701129273385,0.7649396621370478,0.00025324704625840933,0.005706741975005819,adam,adam
5,409.5528091153228,COMPLETE,32,0.055107685653094075,0.16948607291474604,0.7996635889981352,0.7013411988244999,0.0005811169801180716,0.005103542562755341,adam,adam
6,340.61766796502434,COMPLETE,64,0.6982705666020904,0.45643373096369044,0.7753533069720541,0.7577949355557625,0.0006975279725982483,0.0018236133423732376,adam,adam
7,383.1049680927342,COMPLETE,64,0.9210299278982009,0.5923966313504186,0.6866783632618034,0.6442548307938873,0.00034553775609403486,0.00516121267505441,sgd,adam
8,407.6191918013194,COMPLETE,64,0.09676383736273905,0.19732648897610366,0.7125031586337586,0.7871515128667821,0.008149022087263338,0.00889853450100611,adam,adam
9,404.35949939371994,COMPLETE,64,0.8179220950374765,0.07914693055574847,0.5417166571586419,0.8773421830268682,0.007991860373596357,0.006885175738650444,adam,adam
10,366.45252630290105,COMPLETE,64,0.039652922019078045,0.510747306821512,0.8939428620050994,0.7631967968369576,0.007047581656727675,0.0018826636142669933,sgd,adam
11,479.2798136113835,COMPLETE,64,0.4832607976543749,0.36759949501069433,0.7902306769867755,0.5433194894958426,0.003931702534237026,0.0006391207444161814,sgd,sgd
12,404.67715026581135,COMPLETE,64,0.4216333151960606,0.4983266823165444,0.8673060344335356,0.9522970464979457,0.005726700741431177,0.0015998604975888955,sgd,sgd
13,497.11065996041,COMPLETE,64,0.6915785612670794,0.7428111973961591,0.8670086930567942,0.6263072791285502,0.009946445499209675,0.003139612070681961,sgd,sgd
14,329.22476896231007,COMPLETE,64,0.28156134239330244,0.3840998771658541,0.8687821182546408,0.9176098972203144,0.0037839134586920144,0.0028271212196862325,sgd,adam
15,423.92327889367755,COMPLETE,64,0.3280147814405381,0.35162810791587584,0.7913973446160713,0.9750389595788018,0.0025698840944769186,0.002945186214946418,adam,sgd
16,471.1577777265304,COMPLETE,128,0.22100674519859906,0.27394827299355934,0.6229465115898234,0.9102579968826312,0.0032180685532827618,0.00025020729847537605,sgd,adam
17,388.60200067259404,COMPLETE,64,0.6311326996652079,0.010545439107540133,0.7390478120158062,0.8567892676630545,0.004175330313379739,0.003376699841055484,adam,adam
18,342.47738333499956,COMPLETE,64,0.3859098160715325,0.4468196333948544,0.900413399768335,0.5013713139864435,0.0015997764602308957,0.00202927591834804,sgd,adam
19,448.4675799011637,COMPLETE,32,0.16925052906488786,0.6665873138426186,0.8228595636831001,0.9257255203844486,0.004549607304797986,0.003926599196936302,adam,sgd
20,340.5919044764321,COMPLETE,128,0.5351710722693153,0.7868081036034829,0.9322345941032489,0.9950200627344257,0.001713282370933412,0.0011466180710490823,sgd,adam
21,427.55408977165155,COMPLETE,128,0.5113280501066401,0.7827834753457803,0.9408997724378751,0.985890158608621,0.001863700332784174,0.00103575625021374,sgd,adam
22,337.352391541087,COMPLETE,128,0.571410314905632,0.439066787210157,0.8384532429130781,0.9971870090254986,0.0020941763956771535,0.0023524545155224176,sgd,adam
23,457.489315568847,COMPLETE,128,0.5320290126776714,0.5676081486522566,0.9863296274855682,0.9973448934729725,0.0033538597860990147,0.002492391284211088,sgd,adam
24,411.8439153704329,COMPLETE,128,0.3397545836102453,0.7298959772515795,0.8329761866580021,0.923451707406757,0.005187498414213591,0.00395073652026172,sgd,adam
25,468.1594648867461,COMPLETE,128,0.4441439752653082,0.25728792367998726,0.898632242085115,0.9490126562774358,0.0021550876658288642,9.016023682162214e-05,sgd,adam
26,401.2614717609246,COMPLETE,128,0.562632381614376,0.9089146173880626,0.9228874684345035,0.8626463436435506,0.0030889604825187524,0.0011419874923516064,sgd,adam
27,418.85262478131426,COMPLETE,128,0.2870749274719173,0.4145234437679262,0.8403154708028165,0.9005448807612525,0.0012280518711729202,0.0038625137490817915,sgd,sgd
28,444.7046884610874,COMPLETE,128,0.6488392446455098,0.9859993377608163,0.8631570099462936,0.9556773339216459,0.003821630359791683,0.0025585316501716736,sgd,adam
29,392.03284716787834,COMPLETE,128,0.17414233391439243,0.5461055933417671,0.926381298663313,0.8367356792529702,0.002269384645173884,0.001211347742305004,sgd,adam
30,429.31842088522177,COMPLETE,128,0.8374888398236694,0.2917778428434997,0.7572789513126249,0.9916805079785703,0.004833507477560233,0.009526770513143615,sgd,adam
31,384.97943317553637,COMPLETE,128,0.39476034538417704,0.3980865274223431,0.9954557480390603,0.8170787443003807,0.0052734172034469996,0.002653693222806394,sgd,adam
32,378.9218886987941,COMPLETE,64,0.7019251840699279,0.4591102803115877,0.6689493912433377,0.9445141698899757,0.0010037939671762675,0.0019954783336210732,adam,adam
33,434.5659882052118,COMPLETE,32,0.7537358972666975,0.30936508185615663,0.7639835706835092,0.8907893382564953,0.001525533341740885,0.000788576998795293,adam,adam
34,282.77332427891776,COMPLETE,64,0.6105237708947587,0.6626582461264303,0.8144499763190245,0.6208151224863425,0.0009407787766593089,0.001489462595598556,sgd,adam
35,395.17443855162225,COMPLETE,32,0.5928360661128487,0.7978574221724777,0.827039249428806,0.6003423053796142,3.864713182438577e-05,0.0035114016439582564,sgd,adam
36,435.91720500371866,COMPLETE,128,0.5535683626429178,0.6536485278743955,0.8793564539443135,0.7252206195033426,0.0027330032920692745,0.004509526960640776,sgd,adam
37,417.65068736776647,COMPLETE,64,0.4778180935128338,0.8409624573468544,0.5991356796169683,0.6781403194289282,0.0009807704039096967,0.006862204045236497,sgd,adam
38,382.91141549264694,COMPLETE,32,0.6142983145346491,0.7094920325142624,0.9580573053211419,0.5680776449404448,0.001984296833733521,0.00569611041942847,sgd,adam
39,,RUNNING,64,0.4578789449186798,0.5829853868427868,0.5068865725691243,0.6758852918395436,0.0034889473551998184,0.00153904939832717,sgd,adam
40,276.7075023325127,COMPLETE,64,0.46690087714840717,0.6258634982629497,0.7302162674109983,0.9668032977668417,0.0027386620555511325,0.0016169767471644549,sgd,adam
41,419.55195140262884,COMPLETE,64,0.2695933410185478,0.6115950984583666,0.7191441054813889,0.8069116908348487,0.0034735242950909816,0.004495504410517026,sgd,adam
42,361.84564967673873,COMPLETE,64,0.3561313963745835,0.5456813473354547,0.501301814896874,0.6855800663090507,0.002596414380667967,0.0024120097152982006,sgd,adam
43,345.8664495428363,COMPLETE,64,0.462825333637739,0.6796631201288693,0.8183684863209058,0.963042467440823,0.0007550334704276972,0.0014194106574790502,sgd,adam
44,305.756789095053,COMPLETE,64,0.6671458428916721,0.5961561801974157,0.8043533778460885,0.9244019121591537,0.001579148719379769,0.0005824504130952858,sgd,adam
45,348.9465219197804,COMPLETE,64,0.6769541252958327,0.6006668264073578,0.7321877949622837,0.9138066430374019,0.002801723760005972,0.0005155269813239749,sgd,adam
46,349.6127082108257,COMPLETE,64,0.7730334988355325,0.5048822154384711,0.6862882571174894,0.9352382044093467,0.0005871930147740572,0.002149435644440373,sgd,adam
47,454.596171160102,COMPLETE,64,0.9753403600667917,0.6275932150458515,0.7887954388129941,0.8787824721298696,0.0042707602559050395,0.0015632043679268755,sgd,adam
48,466.03729038056355,COMPLETE,64,0.877421606157344,0.43645442637807663,0.8525793141747613,0.96830329995342,0.0012805615938742913,0.0005042200041981835,sgd,sgd
49,369.66903965395767,COMPLETE,64,0.7421737692179131,0.5392103409617668,0.8121737306620774,0.6611830597789092,0.00236736655242753,0.001642881586551911,sgd,adam
50,453.09285278105654,COMPLETE,64,0.6104696368555566,0.21047989286187332,0.7740122047847875,0.7453747409389457,0.00642274818134783,5.1977384971003894e-05,sgd,adam
51,409.99178030901714,COMPLETE,64,0.09828971893916535,0.3660861881518742,0.797912529173157,0.8424500424972482,0.00042943496664084194,0.003005540385087796,sgd,sgd
