number,value,state,params_batch_size,params_beta1_d,params_beta1_g,params_beta2_d,params_beta2_g,params_lr_d,params_lr_g,params_optimizer_d,params_optimizer_g
0,396.51360163056995,COMPLETE,64,0.020804644042560872,0.7161306616342681,0.8205615896601717,0.9563651180696378,0.003584059935089364,0.00084147909091935,adam,adam
1,369.4317038341617,COMPLETE,64,0.7702557785862083,0.4853601129691757,0.6961725840841735,0.5154291949206911,0.0032950329920615564,0.002359970384812909,sgd,sgd
2,437.8510419864519,COMPLETE,64,0.20610290858717323,0.21549354437874452,0.6641637175136565,0.9176876474213894,0.009661533321113396,0.002871429728097007,adam,sgd
3,362.7047990675831,COMPLETE,128,0.4779503740972483,0.22101574406425892,0.7259112651114638,0.83176320423501,0.0007889054867025203,0.006783093992401784,adam,sgd
4,395.7069520432301,COMPLETE,64,0.06059004941635567,0.6491234100782222,0.7212740063270857,0.8708997694770141,0.0014456516873455373,0.009476306508090377,adam,adam
5,385.1497024834009,COMPLETE,64,0.8693840603487238,0.6550514773999458,0.6906095415536122,0.9462269979435716,0.009685717445170584,0.0032024947369799655,sgd,adam
6,402.8635810579749,COMPLETE,64,0.4549769778376498,0.6950515767980071,0.9555606779061951,0.6431973598773365,0.003129748747628255,0.0038509112817561126,adam,adam
7,454.65771753842597,COMPLETE,64,0.19349260899750678,0.27830844497255963,0.8058520062433463,0.7334685803040977,0.0037951385138082273,0.00890489009869933,adam,sgd
8,218.13913252751894,COMPLETE,32,0.03644205988295458,0.8350477203441427,0.9279060505807941,0.8657733684327042,0.002131796486720054,0.009102136263527372,sgd,sgd
9,265.7345179080888,COMPLETE,64,0.16111409421748052,0.072916656530974,0.7035964274968709,0.7191902660594189,0.008022345313836913,0.0019089407833166611,sgd,adam
10,389.7640636565395,COMPLETE,32,0.6930672929228504,0.9542550843029963,0.5425389041104843,0.8124547990592413,0.0061846582635096,0.006560631607923721,sgd,sgd
11,98.46949614092948,COMPLETE,32,0.25106335420462456,0.03708571771936633,0.9953808339837871,0.7028607971589305,0.00690640172962259,0.00048824091647265474,sgd,adam
12,367.57185582728926,COMPLETE,32,0.3329170650794243,0.9264701243933904,0.982643278585685,0.6495249776482191,0.006109991569464921,4.160030330301219e-05,sgd,adam
13,203.4453555452224,COMPLETE,32,0.3064743394887431,0.41526504138293613,0.8948934371904864,0.640586553172926,0.007389952552218292,0.005425219978558356,sgd,sgd
14,172.80681691663904,COMPLETE,32,0.3513177183642,0.0034968651479886925,0.8893859221919914,0.5676334302349693,0.007472190227273147,0.005170613682284275,sgd,adam
15,253.80245962761953,COMPLETE,32,0.5927876597184331,0.05541097729120531,0.874752281698959,0.5159312649440455,0.00797637645962718,0.004977701647295665,sgd,adam
