number,value,state,params_batch_size,params_beta1_d,params_beta1_g,params_beta2_d,params_beta2_g,params_lr_d,params_lr_g
0,513.1772509575582,COMPLETE,128,0.16012827555725467,0.2529858901721063,0.6847688946564401,0.7880899858925313,0.006650195068139961,0.009681002363209191
1,446.2676980230036,COMPLETE,128,0.18711839345224848,0.784115200900199,0.6375262294115649,0.9120812459805201,0.00567482488191266,0.0047381727142992115
2,426.14414955449325,COMPLETE,64,0.3809516644554406,0.1311762013611145,0.7417479393042139,0.6531997206910021,0.009731671940465777,0.003666259198090723
3,493.81823349803324,COMPLETE,128,0.21682057468954533,0.025686205979032848,0.5237466665527117,0.9069835603808878,0.0036710388299478407,0.007642262697432316
4,558.6524086203395,COMPLETE,128,0.27076681546567066,0.4920581086737921,0.5248221922441493,0.9630179924177488,0.0051659296380431735,0.0007058766410957811
5,410.01750527404647,COMPLETE,32,0.1005198064031417,0.9623901898320082,0.8830428708228985,0.6565691007368564,0.0002065800861990504,0.0045509297862554735
6,402.3436161271007,COMPLETE,32,0.0045013166470815056,0.8822352717118732,0.6839202196327869,0.9370913940752457,0.006714493423287148,0.008027802649037116
7,505.4265808376461,COMPLETE,64,0.8809031854165832,0.16752365032041247,0.6264927787435011,0.7973626029718694,0.00948387910394157,0.0006411965693305398
8,497.6186480918048,COMPLETE,32,0.6942556710041841,0.3625886270477033,0.883483344953379,0.8139540845187396,0.0037060291765737214,0.0009301754912092653
9,432.7490563561973,COMPLETE,64,0.4298582873963881,0.5717109113846234,0.690677881632801,0.5195414704958566,0.003158347287807593,0.006607984382090107
10,458.3593217025128,COMPLETE,32,0.0028866658730894446,0.9464239564834203,0.953286478138657,0.9953355711414716,0.007734482151901802,0.009639937121149227
11,485.9893465861517,COMPLETE,32,0.017658838523110953,0.9782951813456451,0.8437348485743239,0.6580838698926572,0.0003866951919534959,0.0032995342498431156
12,423.30593653308364,COMPLETE,32,0.6302850147830394,0.7551008929522471,0.809564391957361,0.6636695262515431,9.039497418074675e-05,0.006583144114080128
13,478.61655802217325,COMPLETE,32,0.05580085317295452,0.7745973173754959,0.9579404048319762,0.5921432489998427,0.0019368627796519692,0.00808533516790821
14,480.69492589219595,COMPLETE,32,0.3160095810874075,0.8493786446115806,0.7920765377580888,0.7264096507733775,0.00773265587419563,0.005471728767856212
15,407.6370472169654,COMPLETE,32,0.533476000879359,0.6539726637471699,0.8764286795418805,0.8493391665524993,0.0016467136332369548,0.002745490444906336
16,501.6263823190565,COMPLETE,32,0.5580081412677546,0.6031385381476964,0.989067370590033,0.8792346604871069,0.001519461474427592,0.0022910097407306913
17,464.0353963328993,COMPLETE,32,0.866124262571482,0.6709901002339242,0.7426859184567126,0.8400924665635501,0.006494106336448358,0.002213335360472623
18,469.4148163558869,COMPLETE,32,0.6979074967228154,0.43058647216749235,0.580768631331432,0.9515532795003708,0.0025208675666066145,0.008662309925056507
19,468.9040963613086,COMPLETE,64,0.49727779884634654,0.6577855131411543,0.889046229586968,0.8644333090485304,0.008174065526279427,0.005990970844088544
20,417.99990663596424,COMPLETE,32,0.9717598507003677,0.8644263252432188,0.7915686991434074,0.928448656349215,0.004719230125584164,0.002249708824791236
21,418.6761417909256,COMPLETE,32,0.14230682441762937,0.8945511424913961,0.8990385589407403,0.733147103725112,0.0011883117835357908,0.004330455078287075
