number,value,state,params_batch_size,params_beta1_d,params_beta1_g,params_beta2_d,params_beta2_g,params_lr_d,params_lr_g
22,482.8926920073911,COMPLETE,32,0.09852380667337574,0.9803986336797941,0.8443090396882795,0.5904497636114647,0.0008810884415521936,0.0037353873490269633
23,486.90087286623753,COMPLETE,32,0.3324894012578642,0.7129219262016195,0.6992212769843204,0.7546840192769187,0.0022723091943012428,0.005082620833496757
24,447.08989662170137,COMPLETE,32,0.5672654161515573,0.8451367280090045,0.9285851445855408,0.6953768220095345,0.004089033522833576,0.0028930569119346443
25,414.54574220671645,COMPLETE,32,0.44243163199152835,0.5926510188754439,0.8489400205678465,0.9956640872500266,0.005967252811938266,0.006981981319929959
26,445.83033646428663,COMPLETE,32,0.10313293739167935,0.9160498183090786,0.7677020731516061,0.8485396350678421,0.0028275009951090457,0.004178394354405595
27,452.0534953077382,COMPLETE,32,0.2466598763711108,0.805846911863698,0.6333249978543176,0.6075944506052332,0.0007802967578599474,0.005623992572125394
28,443.76504366402685,COMPLETE,128,0.6952792868576341,0.6990664537429074,0.7276233647868177,0.766112720595821,3.086677902582047e-05,0.0026939520889362545
29,499.291389036285,COMPLETE,64,0.152710904905571,0.2775539422718656,0.8211938667391762,0.526983799465159,0.006817022365144176,0.0013802323150351285
30,452.5784551612778,COMPLETE,128,0.06749355460132206,0.9113575389552984,0.6618481045158016,0.8265639927515228,0.0015384579077373096,0.009750813261358904
31,476.31316174279704,COMPLETE,32,0.44042628313546006,0.5474595330289722,0.8507592433022417,0.9792301331837591,0.006455513071951525,0.0072212801785987305
32,393.4530133671438,COMPLETE,32,0.7713953279287129,0.621963372563336,0.917536275044904,0.9014362468145293,0.005360322979171165,0.008924391926641921
33,473.8283143891788,COMPLETE,32,0.7670561683768753,0.41099731591729594,0.9147622255221283,0.8920659606716076,0.004920376603959192,0.008966556993218449
34,488.2462838568097,COMPLETE,32,0.8243154517623366,0.5161582672980998,0.9979566408344785,0.9300868567146515,0.007223650101739008,0.008316357433498681
35,463.68869645520437,COMPLETE,128,0.2024474198897832,0.6352484006649864,0.9381538859799269,0.9116364647965964,0.005678399370690101,0.009341575282161936
36,426.20243919777016,COMPLETE,32,0.561467429959837,0.7417412640487924,0.5682710770076062,0.7945870355646353,0.004339681845421713,0.007772045713247746
37,380.29479077520256,COMPLETE,64,0.6461537770117639,0.8069948419542881,0.8792595921299563,0.9492692578343235,0.0033836054297395066,0.004917640798608368
38,521.1853699656457,COMPLETE,64,0.6407469411239435,0.7872573821935327,0.8717941016959765,0.9556835313804688,0.009003684054928896,0.008990291229163528
39,485.23404551320317,COMPLETE,64,0.7804686593921383,0.47133717062301156,0.7168665390961008,0.8775864305520953,0.0031543820136490383,0.0017219293565397856
40,527.9076875060321,COMPLETE,64,0.6275450578430157,0.020587130235554085,0.9674476785814375,0.9345703923927368,0.00520864854738629,0.004905661477133624
41,453.2290948458492,COMPLETE,64,0.749236825151737,0.8250822718589335,0.9108069045771524,0.8989902663983219,0.0036162106226070904,0.004314846710328319
42,431.4542175971867,COMPLETE,64,0.36250138214573724,0.9443465862016078,0.766800747742911,0.9696471758767776,0.0054941955955529935,0.00614871797596861
43,455.1459244713372,COMPLETE,128,0.5066961718284696,0.7403509187084257,0.8732025652815746,0.8594935106985843,0.0018945706815617718,0.003609358537323527
44,411.20289088950756,COMPLETE,32,0.0010146580321188647,0.8935660080601217,0.6606392201989848,0.9407509513930025,0.0005190328806253671,0.007223172072167249
45,416.4623739054241,COMPLETE,64,0.9503115406739409,0.6195678390363986,0.8171900082199463,0.9085485813616593,0.004201228884362305,0.00997509937196192
46,463.50557045498493,COMPLETE,32,0.5984523721697509,0.7076352826077273,0.9289403328478488,0.614484613953366,0.0012073253932227467,0.00514462716118393
47,550.8496044943519,COMPLETE,32,0.6756365411945175,0.10024865991975118,0.9678779501876875,0.6888752910394247,0.0034546899037923703,0.003333240448390097
48,413.47772237730527,COMPLETE,32,0.729098437349836,0.791568445358771,0.906267238380119,0.8152076178985517,0.002527218862885129,0.006049644446030206
49,422.5585449562951,COMPLETE,64,0.8177048664335185,0.9886571273912371,0.8638947165931743,0.9694381496050999,0.006059542153632412,0.004637982103298983
50,491.71833120315705,COMPLETE,32,0.9085132404009892,0.557913268107017,0.6144419579848661,0.8810850199540883,0.0021467011588456046,0.006643012730185707
51,503.082422255981,COMPLETE,32,0.01072971139131799,0.8667015267191522,0.6905053449085842,0.9291053801858867,0.0006766445898447649,0.0003466206275294444
52,439.216886213012,COMPLETE,32,0.04276074273573223,0.941060996950596,0.5885905951572111,0.9508358392209388,0.0005288715386298442,0.007680916808510137
53,422.50181204746104,COMPLETE,32,0.1120215648176934,0.884519228114772,0.6620103072522807,0.9837308089565123,0.0002707107401602475,0.008386297970452209
54,433.08559824101235,COMPLETE,32,0.0574849523854773,0.836230641976293,0.6613433653097063,0.9444571745364703,0.0015251240233007017,0.0071511378909491965
55,438.74889968684045,COMPLETE,32,0.006087871645680955,0.667507460931367,0.8826386250386936,0.7756031615187605,0.0009877332019762874,0.005509630281156896
56,489.01145653952904,COMPLETE,32,0.24971367984052553,0.9434768798479508,0.7942455163646512,0.9157535220593938,0.007238454623235881,0.008026011823822597
57,538.682448576262,COMPLETE,32,0.08371007645214565,0.9082909534087352,0.9457025360590274,0.559468175827248,0.008280864520000552,0.003986010425299997
58,475.5086566664887,COMPLETE,128,0.4011115291239242,0.8114116072450038,0.5119493959860479,0.8386742316366491,0.00039836868097026614,0.00878529816839665
59,505.4740017219468,COMPLETE,32,0.17074784757125083,0.7575670110191389,0.830973815187377,0.9984639459160278,0.0045468506040888725,0.0074101048917805026
